subid,age,gender,add_side,mult_side,q1,q2,q3,q4,time_elapsed
2757,20,Female,right,left,Not at all,Not at all,Always,Ability to do the math accurately in my head. Side with higher numbers. How much work it would be to do the math in my head. ,2752930
3035,22,Female,left,right,Not at all,Not at all,Always,Chose the one that seems to have higher average but did not calculate them.,2437969
4113,19,Female,right,left,Not at all,Not at all,Always,"I mainly would choose the bandit that had the highest numbers in the forced choices. Also, if I got a lower number in one bandit for one turn, I would choose the other one for the next. ",2442540
2659,20,Female,right,left,Some of the time,Not at all,Most of the time,no,3756871
3440,20,Female,left,right,Not at all,Not at all,Always,The difficulty of calculation,2364622
5139,18,Female,right,left,Not at all,Not at all,Always,"I tried to pick the slot column with the highest average from what I'd seen in the forced choices. Then, I would pick all the rest of the slots in that round from that column.",2848593
3860,19,Cis-Male,left,right,Not at all,Not at all,Always,"I would try to guess the average of each side based on the forced choice pulls. If it was unclear I would just try to pick numbers with the biggest gains. If the ranges between given numbers was really large, I feel I went for the other side then. I wish for harder problems I just did the addition because I realized that getting any points is better than getting the question wrong and getting no points.",3458181
5285,18,Female,right,left,Not at all,Not at all,Always,Whether it was easier to add or multiply the numbers,2568879
5233,19,Male,right,left,Not at all,Not at all,Most of the time,"no
",1793564
5336,18,Female,left,right,Not at all,Not at all,Always,"Of the 4 forced pulls, I saw which side yielded the higher average score and chose from there. But near the end, I got tired and would choose adding the numbers if they were hard even if choosing multiplication was smarter.",2674944
2633,20,Female,left,right,Not at all,Not at all,Always,no,2059237
4141,19,Female,right,left,Not at all,Not at all,Always,"I would look at which of the forced choices had bigger numbers before choosing whether to add or multiply. Also, if the numbers were hard to multiply sometimes I would just add. ",2542286
3897,20,Male,right,left,Not at all,Not at all,Always,"I looked at the available numbers and averaged them. I usually pulled on the side with the higher average. If the averages were pretty close, I chose based on the easier math equation. I tend to avoid sides with just one number showing unless the average of the other side was much lower than that one number.",7881444
2398,20,Male,left,right,Not at all,Some of the time,Some of the time,No.,2446759
5189,18,Female,left,right,Not at all,Not at all,Always,Whichever feels easier to calculate in mind; first instinct,1656555
2912,20,Male,right,left,Not at all,Not at all,Always,Whichever had higher numbers to begin with,2927653
3849,20,Female,right,left,Not at all,Not at all,Always,I just guess the averages.,2823276
5184,18,Female,right,left,Not at all,Not at all,Always,The easiest way to solve ,2261126
3890,20,Female,left,right,Some of the time,Not at all,Most of the time,If the calculation was easier depending on the side I would do that,3242518
5296,19,Male,right,left,Not at all,Not at all,Some of the time,"No, it was mental math!",1214786
5282,21,Male,left,right,Not at all,Not at all,Always,Whichever one had the highest average,3005188
5277,19,Female ,right,left,Not at all,Not at all,Always,I just chose whatever math problem I could do the fastest. Mental math is my greatest weakness.  ,2236609
5378,18,Male ,right,left,Not at all,Not at all,Always,most of the time I chose addition for the questions with larger numbers since many of them were harder to multiply,2436212
5213,18,Female,left,right,Not at all,Not at all,Always,"I picked the side based on previous numbers. So if I was shown (through forced pick) that the average of one side seemed to be higher I would try to pick that side. Occasionally if I didn't feel like doing a certain operation I would just pick addition because it was easier, but I tried to not let that affect me and just do whichever side I thought was best even if the operation was tedious through head math.",2772582
5044,19,Male,right,left,Not at all,Not at all,Not at all,No,1694858
2782,21,Female,left,right,Not at all,Not at all,Always,"If adding the values was easier, I did that instead of multiplying.",1810563
4190,19,Female,left,right,Not at all,Not at all,Always,"Whichever was easier for me to calculate, so most of the time I did addition but if I could mentally do multiplication I did that",1716262
3820,19,Female,right,left,Not at all,Not at all,Always,no strategies,1441701
5080,18,Male,left,right,Not at all,Not at all,Always,"The values in the set, so if one already had like a 70 and a 60, then I would try to do that math instead of the other. ",29685256
3631,20,Female,right,left,Not at all,Not at all,Always,"I just kind of looked to see which side had the highest numbers from the forced trials and mostly tried to do the math problems for that set, unless the multiplication was too hard, then I would just do addition, regardless.",2340595
5057,18,Female,left,right,Some of the time,Not at all,Most of the time,the sum of the numbers in each column ,2273402
5377,18,Female,right,left,Not at all,Not at all,Always,previous numbers,2319270
5036,18,Female,left,right,Not at all,Most of the time,Some of the time,I guessed which side would have more points based on the information already provided,2825593
3379,21,Female,left,right,Not at all,Not at all,Always,I would look at which had higher numbers previously and try to discern any patterns between the two columns ,46673220
5156,18,Female,left,right,Not at all,Not at all,Always,I picked the side with an overall higher average. The first few numbers were a good indicator as to the values of the covered numbers.,2918274
2431,21,Male,left,right,Not at all,Not at all,Always,"If the multiplication was difficult, I added the numbers",2748111
5275,19,Female,right,left,Not at all,Not at all,Always,"if the math problem was simple, i would choose the bandit with highest yield. if it was easier to multiply or add depending then I would choose that.",7767949
5309,21,Female,right,left,Some of the time,Not at all,Most of the time,I used the bandit which yielded the highest numbers in the demonstrations. ,2246106
2642,20,Female,right,left,Not at all,Not at all,Most of the time,"1) The first forced choices made me predict the average values of the column (even if they may not be correct);
2) If the two numbers were two digits, I usually went for addition because it was easier.",1776011
2495,20,Female,left,right,Most of the time,Not at all,Most of the time,no,2687790
5000,18,Female,left,right,Not at all,Not at all,Always,"1st 4 numbers shown, average of 1st 4 numbers shown",5124104
2794,20,Male,right,left,Not at all,Not at all,Always,First it depended on which side had higher numbers revealed in the forced slots. However if the multiplication was high effort and couldn't be easily figured out I'd go with addition.,4992036
5038,19,Female,right,left,Not at all,Some of the time,Most of the time,I just looked at the trend of which column had higher numbers ,3471418
5323,18,Female,left,right,Not at all,Not at all,Always,I chose the one where the average looked higher. ,3072790
4638,19,Female,left,right,Not at all,Not at all,Always,difficulty of the multiplication,1903697
3601,20,Female,left,right,Not at all,Not at all,Always,I think I picked which one to solve more on which problem would be easier to get the answer right to. I would rather solve an easy problem I could get right then risk solving a problem that's harder and getting it wrong. ,1715715
3972,19,Female,right,left,Not at all,Not at all,Always,the scores i saw first,5081513
253,21,Female,left,right,Not at all,Not at all,Always,"At times, I chose from the addition band because I thought addition was easier. This was when the reward for the multiplication side was more comparable, or when I thought I would get the multiplication wrong. There was a bit there where I got multiple addition problems wrong in a row that I'm pretty sure I solved correctly.",3246209
5183,20,Female,right,left,Not at all,Some of the time,Most of the time,"Pick the side with the highest average in the forced picks. When the two sides are roughly the same, pick the easier question",3535411
3359,21,Female,right,left,Not at all,Not at all,Always,"If the slot machine had relatively high numbers during the first four forced tries, then I was more likely to pick that slot machine. I am also better at addition in my head than subtraction, especially for more complicated problems, so I gravitated towards the addition slot more often.",3308856
5248,18,Female,left,right,Not at all,Not at all,Always,I usually tried to pick the bandit had had the fewest amount of numbers picked already. If the numbers were bigger I was more likely to do addition because it was easier. ,2898536
5280,19,Female,right,left,Not at all,Not at all,Always,I think that I tended to chose to pick whichever side seemed to have the highest average from the first four slots.,2992039
5350,18,Female,right,left,Not at all,Not at all,Always,"averages of previous numbers tended to guide what I chose next, but not always",2939936
5420,19,Female,right,left,Some of the time,Not at all,Most of the time,Stuck with the side that had higher outputs before I had to choose,2322591
5101,18,Male,left,right,Not at all,Not at all,Always,"If the difference in average of values shown was large, I would pick only numbers from that side. If it was unclear, I would alternate until I could make an educated guess as to which average was higher and choose that side.",5375722
3989,20,Female,left,right,Not at all,Not at all,Always,No,3200348
5108,18,Female,right,left,Not at all,Not at all,Always,"No strategy, random",2434668
5373,18,Male,left,right,Some of the time,Not at all,Most of the time,Whichever numbers were trending higher on whichever side during the forced selections were usually the row I chose for the remaining selections.,1970671
4154,19,Male,right,left,Not at all,Not at all,Always,"I tended to go with the column that provided more rewards, even though it may not have resulted in more rewards. In addition, when the math problems were multiple digits, I tended to go with addition rather than multiplication.",1956679
5333,19,Male,left,right,Not at all,Not at all,Most of the time,"I would look at the initial 4 options and just in general use it as a guide. If the addition was higher i would go with it, if multiplication seemed higher i would do it on all the problems i felt were manageable to do in my head. If both were close after first 4 i would try and do one of each if it seemed do-able in my head.  ",3179700
2622,21,Female,left,right,Some of the time,Not at all,Most of the time,"I picked depending on the numbers that were displayed in each column through the forced pulls. If a column looked as though ti was decreasing, I picked the opposite one and etc. I searched for any patterns. ",5009866
2935,21,Female,left,right,Not at all,Not at all,Always,Based on the locked in choices,1641704
285,21,Female,left,right,Not at all,Not at all,Always,No,3049329
5382,18,Female,right,left,Not at all,Not at all,Always,"Questions with single digit numbers I multiplied them. Otherwise, I used addition.",1936955
